m,m.1,kPa,Â°C,kg m-2s-1,kW m-2
0.003,0.5,7100,52.72,1629,4070
0.00776,2.08,1402,99.32,281,602
0.0106,0.76,8253,140.01,1464,4164
0.0131,1.5,1579,41.6,670,2566
0.00578,2,6860,200.88,1493,1383
0.0131,2.75,3344,51.7,926,2021
0.00798,6,6990,275.33,1002,431
0.00803,3,13720,320.84,2041,583
0.00607,0.79,9800,249.71,3208,2709
0.00607,0.79,14700,270.51,4014,3160
0.0151,6,13720,137.89,508,508
0.00787,6,14710,178.31,2993,1028
0.00796,1,13730,178.55,4000,5340
0.0077,2.6,11760,184.83,3252,1930
0.0151,4.017,4992,190.09,2280,1833
0.0151,2.235,6512,234.81,2270,1927
0.01262,3.658,6681,258.66,2535.7,1437.9
0.01,2,9800,224.51,4418,2755
0.011,6,9800,279.86,2126,602
0.00799,1,6860,255.28,1997,2460
0.00585,6,15690,280.32,3370,609
0.01,2,17650,149.56,2335,2791
0.00795,2,17650,98.01,2004,2395
0.00394,2.08,1167,61.34,1325,1032
0.00932,3.048,18167.7,299.42,4242.3,1844.832
0.00792,0.5,5880,99.43,1495,5570
0.00799,3,6860,206.9,1997,1398
0.0131,2,3001,50.36,877,2541
0.00795,2,13720,158.07,2771,2512
0.00785,1,13730,317.87,2006,1230
0.01,4.966,10000,289.83,745,409
0.00781,3,13730,65.45,2025,1804
0.01075,4,15690,300.31,1993,733
0.0108,3,13730,179.93,1519.4,1357
0.0131,1.75,1177,32.07,396,1473
0.008,1,17650,197.48,979,1600
0.008,0.78,9800,149.16,2217,4189
0.01,2,7000,191.48,3196,2591
0.00394,3.12,1853,61.51,956,651
0.01146,1.359,7000,251.23,1012,2270
0.0152,2.456,5001,241.16,1150,1735
0.00803,4,15690,301.41,993,361
0.0078,6,9810,256.63,3979,990
0.0082,5.34,15690,157.89,1010,523
0.00811,5,4990,163.46,3991.8,1624
0.01075,6,9800,279.86,1010,423
0.00601,1,7100,103.89,3600.4,4695
0.00801,1,9810,208.08,1000,1960
0.008,1.57,7850,211.63,1001,1662
0.008,1,3008,188.6,4032,3963
0.00607,0.79,12750,271.26,7539,4670
0.00585,6,7840,239.06,1499,453
0.00811,5,10010,210.21,752,444
0.00585,4,14710,158.13,4982,1920
0.01,2.25,1491,72.15,442,1033
0.01,2,16000,338.2,3170,1247
0.008,0.393,2500,89.52,4812,9301
0.0108,3,17650,301.11,1520,760
0.01075,6,14710,280.73,1540,474
0.0107,4,14710,259.97,2027.8,885
0.00607,0.79,9800,299.79,3198,1921
0.00785,1,3040,85.11,2555,4953
0.00996,0.96,1952,57.39,397,2036
0.00795,2,7840,118.67,1439,2058
0.01,4.966,11760,304.81,3177,754
0.008,1,539,59.71,1010,2437
0.00811,5,13990,326.28,4041.4,731
0.01075,4,5880,200.47,1010,940
0.00811,5,16000,247.13,1008.8,412
0.01075,5,5880,220.12,2024,1056
0.008,1.57,12750,137.95,2201,2668
0.00776,1.04,3315,85.81,325,1324
0.00585,4,19610,116.51,3308,1651
0.01,1,598,37.79,192,1008
0.01075,4,13720,239.79,1010,639
0.0128,1.93,10343,214.02,1356,1858.1
0.00607,0.792,7840,243.07,2688,2810
0.01075,4,9800,299.79,1010,530
0.0093,1.219,121,83.64,119.3,485
0.01001,3,10000,292.59,520,535
0.01,2,16000,337.53,3613,1388
0.00803,6,13720,239.79,999,326
0.008,1.57,12750,244.86,4995,3255
0.01001,3,17650,254.17,1511,965
0.00803,4,15690,321.57,2787,665
0.00776,2.08,843,118.86,482,743
0.01,1.25,3334,127.19,1450,3301
0.00811,4,7000,274.66,2012.6,795
0.0082,5.34,15690,340.7,1484,270
0.01001,3,13720,240.86,2041,1175
0.008,0.4,2490,79.75,4980,9647
0.00578,3,7840,159.04,3335,1757
0.0152,2.366,5001,135.38,2260,2770
0.01,4.966,15690,326.93,1914,453
0.01075,5,5880,220.56,1010,746
0.00811,3,2010,201.82,749.9,744
0.0104,3.8,17650,176.16,2744,1872
0.01,2.25,3158,141.15,1266,1998
0.01,2,13720,191.73,354,680
0.00803,4,9800,279.86,2814,805
0.00811,5,12000,223.95,1249.2,529
0.00607,0.79,12750,188.79,2708,3551
0.008,1.6,14700,260.3,3185,2091
0.01,4.966,11760,302.71,4100,1010
0.01,2,15690,114.44,680,1146
0.00801,3,9810,218.26,2012,1256
0.01075,6,6860,220.56,499,388
0.00801,3,13730,202.91,1000,725
0.00792,0.5,5880,99.43,993,4790
0.00811,5,6990,186.16,2503.6,1104
0.0074,3.8,9810,221.99,3000,1175
0.00805,0.5,11760,300.77,2004,2232
0.008,1.57,17700,203.85,501,716
0.01,2,14000,325.28,3217,1196
0.0077,1.65,17650,276.4,2673,1756
0.01001,3,14000,316.91,4701,1457
0.00811,3,5000,164.07,4000.1,2560
0.008,0.565,11760,240.45,1001,2396
0.00598,2.402,6950,216.1,2190.9,1341.9
0.008,1.57,7850,270.11,3267,1999
0.00805,1,17650,260.24,1005,1302
0.01262,4.572,6964,216.48,691.6,749.5
0.00607,0.79,12750,230.69,2718,2994
0.00585,4,13720,78.09,1499,844
0.00805,10.94,6860,219.9,1008,292
0.00998,3,7944,97.03,1023,1479
0.00607,0.79,14700,321.25,1604,1120
0.00798,6,9990,210.47,4997.5,1465
0.0129,1.93,8274,280.28,1898,1631
0.0082,5.34,19610,291.28,2294,674
0.0128,1.93,5171,250.93,3796.8,2640.4
0.0108,5.8,13720,259.16,1007,416
0.01,2,8000,152.67,2106,2529
0.00578,3,7840,98.72,3335,2032
0.00801,1,6860,250.14,500,1470
0.00801,1,13730,287.7,2000,1520
0.00953,1.727,6964,175.59,2088.2,2620.8
0.00951,1.73,6870,274.89,2030.6,1988
0.01,1,1089,116.61,1000,2995
0.01146,2.007,7140,278.73,4050,2160
0.00811,2,13990,326.58,5060.1,1599
0.008,1.57,7850,287.13,4979,2011
0.01,2,8000,116.92,775,1721
0.00998,1.5,5001,104.48,857,2477
0.008,2.44,14700,228.59,2173,1352
0.00558,1.359,7000,250.19,1012,1550
0.00585,4,15690,280.71,1499,422
0.00771,6,10000,295.86,1920,340
0.00811,3,16030,337.31,1256.1,401
0.00803,3,11760,259.3,1465,787
0.00805,10.94,9800,281,2722,397
0.00811,3.66,9960,211.51,1504.9,910
0.01,4.966,9800,289.49,708,395
0.0151,3.178,4992,216.9,1110,1511
0.01,1,13720,98.69,552,1872
0.00399,0.5,7840,99.67,4444,7240
0.00805,2,13720,260.19,1452,1046
0.01001,3,12000,225.7,1609,1120
0.00993,2.08,1500,137.82,540,1177
0.01,4.966,5000,165.45,4997,2268
0.00581,1,15690,280.71,3353,2427
0.01,2,18000,111.1,786,1286
0.00935,2.007,6960,224.94,2025,2160
0.00801,3,9810,214.07,1000,816
0.0126,3.66,6870,253.55,2480.6,1488
0.00795,2,13720,98.69,985,1395
0.008,1,9810,274.9,1919,2020
0.00801,3,13730,317.87,4000,1127
0.01,2,7000,192.16,799,1570
0.0128,1.93,7030,249.27,3810,2310
0.01,4.966,12000,305.17,806,295
0.00996,0.96,2785,108.75,916,3546
0.0077,2.6,14710,125.64,2255,1918
0.00993,2.08,1893,160.61,299,739
0.007,0.98,6992,275.16,3523,2761
0.0104,3.8,9800,168.46,2240,1500
0.00607,0.79,14700,238.78,2209,2451
0.0104,3.8,11760,167.58,609,709
0.00998,3,5982,97.93,974,1482
0.01,1,13720,98.69,598,2013
0.01,1,4021,38.54,1884,5146
0.00578,2,11760,137.2,1493,1376
0.00578,2,9800,219.26,3441,1789
0.0131,2.5,2746,50.19,815,2021
0.008,6.05,7850,166.1,1603,700
0.01105,1,7840,179.32,962,2630
0.006,0.68,101.3,27.5,93.1,438
0.01001,3,16000,243.72,1165,811
0.0108,3,9800,299.79,986,680
0.0128,1.93,6895,225.08,1369.6,2031.6
0.00802,1.57,14710,280.73,1601,1110
0.008,3.49,14710,334.54,2004,460
0.00922,3.658,6964,216.48,2793.4,1532.8
0.00811,3.66,10000,210.56,502.9,472
0.0095,1.84,15169,257.22,4040.6,2792.18
0.01,2,12000,314.27,6064,1965
0.0024,0.5,5100,49.8,1192,3100
0.0151,4.017,4992,182.36,2360,1963
0.00598,4.005,6977,231.6,1124.9,552
0.0048,0.386,450,107.9,300,1530
0.00925,1.73,6870,261.07,3972.2,2410
0.00811,2,5000,163.84,551.3,1130
0.0104,3.8,14710,175.08,905.6,744
0.00787,3,14710,260.17,1519,766
0.008,1.57,9800,250.75,996,1247
0.00811,1,14020,327.51,1503.8,1133
0.0068,1.9,9800,253.65,3305,1744
0.012,1,923,96.32,61,340
0.00581,1,7840,200.61,5051,3763
0.00781,3,6770,94.17,1059,1361
0.00803,3,17650,322.14,3319,1110
0.008,1,9810,183.71,2018,3100
0.00811,3.66,10010,210.88,1253.9,800
0.008,2.5,1011,92.1,1003,1177
0.00393,1,5001,57.93,2300,3630
0.0108,3,19610,281.86,995,617
0.006,0.5,411,28.51,199,1124
0.00805,1,17650,322.14,2014,1465
0.00811,3,10030,301.24,1511.5,651
0.0078,2.2,14710,299.68,2035,1011
0.0102,3.658,6893,164.85,4285,2306
0.011,6,9800,219.26,1573,677
0.01,0.5,306,50.41,98,991
0.008,1.57,9800,259.82,2239,1690
0.00607,0.79,9800,188.63,3198,3802
0.01,1,11760,104,598,2235
0.00776,3.12,1510,128.3,256,348
0.01,4.966,7000,266.22,3068,1055
0.008,1.57,12750,320.44,3202,1108
0.008,0.5,201,37.77,100,664
0.00803,3,15690,301.41,3319,1174
0.00805,10.94,6860,241.1,1508,363
0.01,2,17650,171.99,517,772
0.00803,3,13720,260.19,2803,1139
0.00801,1,13730,245.84,2000,1950
0.00803,6,13730,224.47,1002,360
0.01,4.966,15690,326,627,245
0.0104,3.8,17650,241.81,1253,697
0.01,2,18000,153.97,1679,2102
0.0108,1,15690,198.66,2002,3227
0.008,2.54,17700,313.01,3994,1556
0.0108,2,17650,260.24,1526,1283
0.00998,1,7944,125.05,468,1962
0.00585,5,6860,179.4,4982,1360
0.01,2,892,40.62,173,519
0.0108,1,17650,280.98,1514,1680
0.00775,1.008,13730,88.5,1000,2350
0.0107,4,7850,240.01,1008.3,799
0.0131,2,3070,44.11,615,2004
0.0077,2.6,11760,218.54,2971,1488
0.00993,1.04,1481,141.39,206,988
0.008,1.57,17700,204.75,996,1166
0.00801,1,17650,95.14,2000,3860
0.0151,6,13720,158.07,773,640
0.0129,0.96,3070,65.42,291,2020
0.008,1,17650,136.36,500,1270
0.0082,5.34,19610,342.82,2010,395
0.00795,2,5880,99.43,2004,2779
0.0093,1.219,197,87.75,299.7,865
0.00803,3,13720,281.66,3313,1161
0.01,4.966,14000,314.43,330,169
0.0108,3,19610,280.86,2002,1135
0.008,0.78,14700,301.07,1005,1217
0.00798,6,17980,255.87,4999.9,1461
0.00805,2,15690,280.71,2009,1209
0.0108,2,13720,240.86,1001,1088
0.01075,5,11760,238.96,2039,848
0.01,2,15690,335.13,3566,1396
0.0095,1.84,15169,315.56,2648.7,1227.3
0.00574,0.625,13720,245.97,5250,5046
0.00585,4,9800,138.13,3308,1387
0.01,2,13720,126.78,2501,3088
0.008,5.03,14700,221.35,1609,605
0.008,1.57,17700,228.36,1631,1524
0.0128,1.93,6895,273.79,3824,2066
0.008,0.78,7850,249.03,1587,2673
0.01,1,517,45.16,61,339
0.0131,1.5,2226,41.72,612,2560
0.00578,3,14710,158.13,3335,1704
0.00607,0.79,17700,326.22,2699,1683
0.0082,5.37,11760,117.09,1510,842
0.00801,3,13730,310.03,501,286
0.0108,3,7850,219.98,1511.1,1362
0.008,2.44,17700,333.17,3961,1340
0.0082,6,14710,336.42,2757,381
0.011,6,9800,168.46,977,628
0.00394,3.12,2687,56.06,852,648
0.00795,2,17650,219.73,2782,2163
0.0085,0.65,7840,260.63,1112,2715
0.0108,3,9800,278.89,986,751
0.00801,1.002,17550,244.78,501,880
0.008,1,6860,222.08,501,1660
0.00803,3,13630,131.87,1997,1539
0.0078,6,13730,272.46,4008,920
0.00998,3,6963,209.85,780,1005
0.0123,0.616,687,125.08,100,812.6
0.00607,0.79,9800,168.46,2708,3809
0.0151,6,17650,239.66,1018,573
0.008,0.78,9800,107.84,1603,4103
0.00932,3.048,18029.8,276.86,1036.2,598.341
0.008,3.49,14830,222.46,2004,981
0.008,0.79,7850,133.9,995,2882
0.00802,1.57,14710,248.89,2195,1700
0.00796,3,6860,256.3,4000,1440
0.01075,6,13720,280.49,2020,564
0.00574,0.625,13790,223.89,5261.3,5930.6
0.00801,3,17650,194.52,2000,1297
0.0134,3.658,1704,146.12,2040.8,1837.8
0.008,1,9710,300.84,2018,1740
0.0108,2,6860,260.16,2769,2000
0.01,2,12000,178.56,604,1062
0.0129,0.96,1853,49.54,204,1422
0.00801,3,9900,204.03,1003,842
0.0131,2.25,3011,48.89,721,1996
0.00607,0.79,7850,273.05,5013,2584
0.0134,3.658,5168,222.76,2068.8,1576.4
0.008,3,13730,299.98,2028,741
0.00775,1.008,17650,134.23,1000,1970
0.00998,3,6963,188.57,1585,1506
0.0151,4.018,5011,187.02,1190,1381
0.0093,1.829,119,94.1,119.3,338
0.00799,1,6860,164.23,2002,3320
0.00811,1,16020,337.11,1000.1,837
0.00792,0.5,7840,159.04,993,3977
0.0077,2.6,14710,305.27,6079,1930
0.0108,2,13720,138.83,546,1018
0.0128,1.93,8274,279.52,2780,1719
0.01075,4,15690,138.16,1519,1181
0.008,2,14700,332.68,5006,1582
0.0104,3.8,14710,259.14,786.1,500
0.01,4.966,12000,225.48,5664,1863
0.008,3.49,12750,97.82,1001,880
0.01075,4,17650,302.22,2749,1076
0.00394,2.08,804,59.03,943,782
0.01,4.966,12000,227.67,365,288
0.01,1.75,775,42.61,157,521
0.00558,0.864,7050,250.93,1012,2260
0.01,1,10000,129.07,1947,4170
0.007,0.56,6789,254.52,3430,3776
0.00795,3,13730,254.05,3950,1688
0.01262,4.572,6964,246.9,2657.8,1322.4
0.00796,3,9810,175.47,2000,1440
0.00581,1,7840,158.58,1499,2670
0.0108,1,7840,180.24,1996,3465
0.0152,2.456,5041,224.63,2950,2279
0.01001,3,17650,254.59,4741,2657
0.01,2,12000,107,469,1047
0.01,1.5,1687,40.48,126,510
0.00581,1,9800,240.44,5051,3233
0.0102,4.877,6893,94.72,1274.6,1274.5
0.008,0.78,7850,215.82,2206,3216
0.0108,5.8,11760,289.25,1514,430
0.008,1,13337,256.26,4096.8,3646.5
0.008,0.78,9800,219.26,2217,3038
0.00801,3,6860,236.08,504,542
0.00805,10.94,17650,138.4,1511,396
0.008,5.03,9800,262.87,2720,734
0.00998,1,6963,207.19,734,2350
0.01001,3,16000,244.57,6907,3535
0.0128,0.914,6895,250.31,5383.3,3722.4
0.00811,2,12000,224.17,3007.3,1983
0.008,0.78,7850,234.05,2679,3160
0.008,1,9810,155.33,1998,3320
0.011,6,12750,280.53,3158,823
0.00782,0.25,13720,260.19,1990,4148
0.00394,1.04,1677,60.52,1021,1774
0.00801,3,13730,243.93,2000,950
0.0095,1.84,8274,91.11,992.3,2072.84
0.011,6,17700,322.17,2989,802
0.01,4.966,9800,290.97,4277,1150
0.011,6,9800,299.79,3711,879
0.008,1.57,4900,199.93,3185,3022
0.0082,5.34,17650,137.3,1010,547
0.01,2,10000,106.3,781,1567
0.00795,2,7840,138.25,1439,1953
0.01,2,5000,178.76,6219,3581
0.0151,6,13720,239.79,1026,605
0.00998,1.5,6963,141.48,2557,3479
0.00787,3,14710,321.16,1999,582
0.00598,4.005,6941,214.02,2198.8,819.6
0.00811,3.66,14000,236.12,2497.6,1054
0.006,1.65,299,29.99,100,196
0.00811,1,16010,338.13,4008.8,1972
0.00607,0.79,9800,289.86,2660,2007
0.01,4.966,11760,221.62,644,410
0.01146,1.359,7000,276.97,4050,2460
0.00801,1,6860,235.22,4000,2810
0.0082,6,14710,276.59,2767,660
0.00558,2.007,7030,254.83,4050,1850
0.015,4.991,7060,234.56,674,739
0.0128,1.93,6895,69.65,3593.4,5110.5
0.01,2,19610,174.01,867,1045
0.00998,2,6767,101.99,1445,2495
0.0074,3.8,17660,131.72,3472.2,2035
0.008,2,12750,270.26,4990,2208
0.0141,0.991,11029,301.5,2034,1798.1
0.00811,4,13990,236.69,500.6,341
0.00578,2,9800,157.32,4997,2892
0.0129,0.96,1736,52.53,210,1459
0.01,2.25,2775,50.34,193,508
0.0074,3.8,17660,261.99,1744.4,697
0.008,3.49,12750,193.8,999,692
0.00798,6,7000,185.36,1503.6,687
0.01046,1.803,13790,288.89,950.2,883.4
0.00792,0.5,7840,98.72,2019,6245
0.00776,2.08,1373,119.83,592,975
0.00811,3.66,18000,257.52,751.1,410
0.00607,0.79,12750,248.87,4946,3922
0.0101,0.6,265,40.91,201,1414
0.0082,5.34,17650,301.67,1505,395
0.00801,1,17650,110.21,1000,2060
0.00581,1,15690,260.3,3353,2759
0.00811,3.66,9990,301.1,4013.7,1093
0.00384,1.55,9800,249.71,3984,1622
0.00805,1,15690,260.3,2773,2849
0.0082,5.37,11760,106.86,1510,866
0.00782,0.25,14710,197.73,1018,4356
0.00999,0.6,1147,72.7,631,3849
0.01,2,10000,226.61,4420,2755
0.0093,1.829,136,90.88,162.7,406
0.0131,2.75,2638,51.85,978,2029
0.0082,5.37,14710,239.72,2010,659
0.0082,5.34,11760,309.77,1989,394
0.01075,6,6860,180.08,1010,693
0.00811,3.66,5010,163.75,2504.6,1622
0.01001,3,9800,208.43,2595,1597
0.00803,3,7160,229.95,2001,1247
0.01,1,10000,118.18,1519,3862
0.01,1,14000,205.05,1242,2258
0.00578,2,13720,179.38,4997,3027
0.008,1.6,14700,261.33,3945,2534
0.00932,3.048,13824,309.53,4135.1,1262.569
0.0108,1,15690,117.53,2002,4175
0.008,0.5,281,51.29,149,1010
0.01,1,421,39.22,139,793
0.01075,6,13720,260.19,1531,528
0.0108,1,13720,279.51,1526,1752
0.00998,1.5,6963,193.99,1771,2488
0.008,2.5,2980,166.63,991,1281
0.00607,0.79,7850,201.61,2199,3061
0.008,0.393,180,32.59,4752,7030
0.008,1,13337,221.58,4057.7,4511.3
0.0093,2.438,119,92.92,119.3,239
0.0093,2.438,112,62.09,92.2,202
0.00795,2,7840,280.09,985,1023
0.0128,1.93,5171,226.26,1898.4,2451.1
0.00578,2,13720,218.22,3441,1825
0.008,1.97,2940,158.9,1595,2116
0.0108,3,13720,198.99,2002,1467
0.00585,4,19610,259.99,5013,1536
0.00801,3,6860,233.09,1000,865
0.00803,3,13730,158.16,1997,1418
0.00622,0.91,10343,173.55,2807,3868
0.01,2,11760,101.86,361,869
0.0151,6,14710,280.73,775,422
0.01001,3,7000,264.03,2428,1345
0.01,2,18000,149.51,1271,1683
0.0107,4,7850,260.12,1008.3,745
0.00803,6,17650,234.67,1999,660
0.00617,4.547,6895,251.34,2698.4,835
0.0082,5.34,19610,217.75,1010,441
0.01001,3,19610,346.7,1518,579
0.00578,2,9800,280.43,2647,1159
0.01,2,17650,345.57,3534,1396
0.01001,3,18000,336.37,4168,1420
0.01001,3,13720,313.52,1169,567
0.00798,6,15970,246.67,4017.4,1143
0.00801,3,13730,90.65,500,628
0.0077,2.6,11760,197.1,2422,1488
0.0077,2.6,14710,282.88,1750,791
0.0078,1.7,9810,283,2000,1338
0.00803,3,6860,196.62,997,1025
0.00801,1,17650,126.17,2000,3530
0.0082,5.34,17650,341.87,1973,346
0.00925,3.05,6870,256.41,4000,1710
0.0094,3.658,6688,172.31,5844.4,2254.9
0.01,1.25,1648,79.67,557,2023
0.01,2,14000,116.53,1442,2046
0.00578,2,9800,259.82,3441,1508
0.00811,3,11990,223.65,753.3,637
0.00775,1.7,14710,291.89,1991,1116
0.00558,2.007,7140,210.3,2025,1560
0.008,3,6860,192.57,1995,1475
0.00585,6,19610,178.18,3349,971
0.01,1.25,2089,78.57,510,2018
0.008,2.44,14700,256.15,2179,1259
0.0082,5.34,19610,281.86,1500,481
0.00805,2,17650,301.67,1458,837
0.01,2,18000,107.28,516,923
0.0152,2.456,5021,217.93,1130,1795
0.01,1,14000,197.83,2106,3394
0.0104,3.8,14710,306.15,533.3,337
0.0108,2,13720,137.89,1001,1546
0.01001,3,20000,269.6,4100,2156
0.0131,2.5,1775,40.54,564,1457
0.00811,3.66,9980,301.2,5005.8,1333
0.00811,2,10010,210.66,6015.9,3421
0.00801,1,17650,297.57,2000,1610
0.00811,3,14020,235.64,754.4,593
0.008,0.79,7850,164.02,995,2784
0.00803,4,17650,301.67,1509,516
0.008,0.393,2600,121.22,4782,8362
0.01,2,3658,58.05,341,995
0.008,1.57,12750,129.93,2690,3275
0.00998,1.5,6963,213.39,610,1523
0.00581,1,9800,278.89,3353,1845
0.00807,0.778,17650,270.54,2222,2510
0.0131,2.5,2481,40.55,526,1441
0.01001,3,14000,238.28,332,359
0.00787,6,14710,198.86,2016,683
0.00578,2,9800,298.91,1493,774
0.0129,0.96,1912,79.92,401,2437
0.01,1.5,3325,71.68,395,1495
0.00999,0.6,588,42.13,285,1991
0.00776,2.08,1118,107.42,406,744
0.0101,1.15,265,25.36,196,837
0.008,1,889,94.42,155,582
0.00999,0.6,1010,58.66,490,3417
0.008,2.23,12750,167.41,1608,1440
0.00778,6,17850,236.51,1024,360
0.01,1.75,1432,80.62,653,1532
0.0141,1.524,12407,311.81,1624.5,1192.4
0.0104,3.8,14710,238.86,1338.9,744
0.00805,15,13720,299.9,2783,245
0.00617,5.182,6895,266.93,1328.9,492.7
0.0074,3.8,9810,281.67,4500,1163
0.01001,3,18000,254.37,789,579
0.00585,5,13720,280.49,4941,992
0.0108,3,17650,321.64,2787,1159
0.0104,3.8,14710,248.04,2218,1058
0.00999,0.6,2295,66.91,506,3893
0.0104,3.8,19620,184.52,1980.6,1390
0.00993,2.08,3217,106.97,398,1059
0.0082,5.37,13720,57.42,1026,693
0.0104,3.8,15700,209.56,997.2,721
0.00811,2,15990,247.26,1245.3,998
0.01,2,14000,201,2097,2008
0.00607,1,1147,57.89,1251,2829
0.00803,6,17950,110.12,998,520
0.00811,3.66,3010,224.42,1506.2,866
0.0151,4.019,4992,250.85,3020,1647
0.0095,1.84,5516,202.78,1359.5,2044.44
0.01,1,2952,108.03,719,2995
0.00805,1,11760,280.67,2014,1744
0.008,1.57,17700,255.25,501,604
0.0134,3.658,1732,187.12,2036.4,1431.4
0.0151,6,14710,260.17,1544,664
0.00384,0.799,7840,182.29,5013,4000
0.00796,1,17650,119.27,2000,3920
0.00811,3,12000,314.92,4030.1,1045
0.0108,1,15690,280.71,2733,2919
0.00999,0.6,1952,50.69,434,3424
0.01146,2.007,7030,264.34,4050,2220
0.00578,3,7840,119.86,1493,1143
0.00384,0.8,7850,260.12,3864,2616
0.00778,6,17850,289.32,1012,280
0.008,1,13730,261.1,980,1430
0.01105,1,15690,280.71,962,1343
0.01,1,14000,201,1868,2994
0.00558,2.007,7030,252.57,1012,1010
0.00775,1.008,6860,176.43,4000,3900
0.0051,2.6,17660,300.08,2025,686
0.00617,2.667,6895,235.18,1356,983.9
0.00785,1,7100,65.19,494.2,2028
0.01,2,8000,95.04,474,1227
0.0151,3.164,5021,265.19,3040,1812
0.0078,6,6860,235.22,1001,430
0.00781,3,17650,175,1996,1424
0.008,2.44,12750,240.81,3185,1584
0.00781,3,13930,113.74,2061,1668
0.00598,4.8,6903,278.1,2979.1,643.4
0.008,1.57,12750,169.5,1595,1958
0.00578,2,15690,321.57,3441,1117
0.01,2,11760,126.1,1928,2473
0.008,1.57,9800,178.58,1590,2051
0.006,0.8,603,75.18,198,714
0.0104,3.8,15700,299.83,2000,721
0.00393,1.5,5100,73.27,1757.7,2122
0.00601,1,3040,86.54,1123,3038
0.01,2.5,3315,56.65,320,751
0.01,2,20000,98.57,284,570
0.0095,1.84,8274,258.89,345.6,684.64
0.00393,1.5,7100,65.43,1938.2,2244
0.008,1.57,4900,133.48,2190,3212
0.00778,6,9900,206.04,1033,410
0.008,1.57,7850,230.83,4011,2466
0.0134,3.658,1773,187.17,2036.4,1489.7
0.008,0.79,9800,156.16,1000,2567
0.0078,1.65,9800,271.87,4017,1860
0.01,2,12000,109.62,299,770
0.008,2.44,12750,301.82,3994,1225
0.00998,2,8042,87.16,366,1003
0.00998,3,6963,134.9,1176,1497
0.00581,1,7840,260.22,5051,2498
0.008,1.57,2940,203.17,2673,2828
0.012,1.44,298,61,300,1130
0.0134,3.658,8646,275.57,2037.7,1208.9
0.01,2,13720,96.06,665,1250
0.0123,0.616,344,88.67,200,1132
0.008,1.8,2992,210.14,2013,1950
0.006,0.3,101.3,10.2,97.1,1065
0.008,1.57,17700,345.62,4011,1578
0.00845,1.34,7840,278.18,2200,1884
0.00796,3,6860,44.76,2000,2159
0.008,0.78,14700,290.87,1597,1614
0.0107,6,7850,200.05,500,401
0.00607,0.79,7850,238.95,3208,2928
0.00795,2,5880,200.47,2004,2081
0.01,1,9800,109.74,1030,3151
0.00578,3,17650,197.48,5019,2384
0.0151,3.178,4992,231.2,2220,1895
0.01077,0.864,7140,254.96,4050,3220
0.008,1,13730,90.65,1999,4100
0.00574,0.625,13790,92.16,5261.3,8927.5
0.01,1,13720,101.08,365,1452
0.01,2.5,2324,54.48,315,758
0.00811,1,6990,275.52,1252.1,2311
0.00801,3,9810,219.14,1009,808
0.00811,3,7010,276.68,2010.2,1022
0.008,0.393,2020,45.63,4838,10548
0.0134,3.658,8701,232.76,2034.4,1478.4
0.00805,2,17650,323.28,3335,1430
0.01001,3,3000,128.62,329,599
0.0131,2.75,2050,53.14,1068,2023
0.00578,2,17650,301.67,4764,1921
0.01001,3,16000,323.8,808,404
0.01,2,10000,110.35,397,978
0.008,1.65,17650,269.52,1487,1186
0.008,0.78,9800,115.92,2217,4638
0.0077,2.6,14710,321.16,5357,1500
0.0104,3.8,19620,252.51,2719.4,1390
0.00782,3,10000,253.59,2000,1018
0.0108,1,9810,259.09,2002.8,2382
0.00775,1.008,13730,190.68,1000,1760
0.0078,7,17650,218.17,1502,461
0.00993,3.12,2295,148.77,582,904
0.0108,3,11760,299.7,498,425
0.01,1,2893,48.82,272,1519
0.00801,3,17650,183.31,496,433
0.00811,3,2010,202.49,1508.9,1011
0.01001,3,9800,284.81,622,593
0.008,1,13730,311.91,973,1120
0.008,0.393,1980,71.8,4867,9500
0.00399,0.5,11760,138.14,4444,6832
0.00803,6,9810,236.48,1002,380
0.00779,6,10100,161.23,1949,770
0.01,1.75,3452,113.36,778,1999
0.0151,3.178,5001,230.83,3040,2120
0.00801,3,9810,293.97,1003,558
0.00932,3.048,17891.9,334.16,3031.2,1002.804
0.01,1,13720,193.78,1023,2072
0.0078,7,17650,117.13,1933,786
0.01,1,16000,208.17,1582,2630
0.00801,1,13730,85.62,2000,3980
0.008,1.57,7850,284.15,1023,1267
0.008,1.75,7058,222.54,6314,2996
0.00803,6,9810,279.94,989,300
0.01,1,13720,123.7,1309,3287
0.01262,4.572,6964,259.23,650.9,669.7
0.00801,3,17650,171.06,1000,750
0.008,1,110,27.13,61,246
0.0024,0.5,3100,34.66,662,1723
0.01001,3,12000,302.72,407,373
0.00795,2,9800,198.8,1495,1535
0.008,0.78,7850,240.01,1608,2790
0.01,2,8000,229.58,5962,2894
0.00932,3.048,17891.9,316.57,1028,465.621
0.008,1,306,26.96,99,440
0.01,1,11760,96.84,588,2106
0.0108,3,15690,321.57,995,519
0.0126,2.74,6870,268.45,2616.7,1693
0.00782,0.25,9800,139.08,1504,6687
0.00803,4,15690,321.57,3363,807
0.008,0.99,9810,191.67,3999,4580
0.00775,1.008,13530,81.61,500,1450
0.00776,2.08,3256,105.12,482,948
0.0024,0.5,3100,51.19,1567,3553
0.0108,1,15690,260.3,2011,2469
0.01075,4,15690,97.48,1010,932
0.0131,1.75,2971,45.67,717,2445
0.00775,1.008,6860,152.16,2000,3310
